Song,Artist
Hear Me Out,EXO
Makeba,Jain
Flowers,Miley Cyrus
vampire,Olivia Rodrigo
Someone You Loved,Lewis Capaldi
Time to Leave,Zhang Zhe Han
Copa Vacía,Shakira & Manuel Turizo
TRUSTFALL,P!nk
Last Resort,Falling In Reverse
Padam Padam,Kylie Minogue
Calm Down,Rema & Selena Gomez
Eyes Closed,Ed Sheeran
We Didn’t Start The Fire,Fall Out Boy
Cruel Summer,Taylor Swift
(It Goes Like) Nanana,Peggy Gou
Tattoo,Loreen
Dance The Night,Dua Lipa
Endless Fashion,Lil Uzi Vert
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
Substitution,Purple Disco Machine & Kungs
GRL GVNG,XG
Daylight,David Kushner
Miracle,Calvin Harris & Ellie Goulding
Wish You The Best,Lewis Capaldi
Before You Go,Lewis Capaldi
As It Was,Harry Styles
Last Night,Morgan Wallen
A Sky Full of Stars,Coldplay
Fast Car,Luke Combs
Car Keys,Alok & Ava Max
MOVE,TREASURE
Cupid,FIFTY FIFTY
Cold Heart,Elton John & Dua Lipa
アイドル,YOASOBI
CODE MISTAKE,CORPSE & Bring Me The Horizon
Anti-Hero,Taylor Swift
Let Me In,EXO
Komet,Udo Lindenberg & Apache 207
Karma,Taylor Swift
Unstoppable,Sia
Don't Think Twice,Rita Ora
Italodisco,The Kolors
Sarà perché ti amo,Ricchi & Poveri
Lay Low,Tiësto
Chemical,Post Malone
Hydrangea Love,TOMORROW X TOGETHER
I'm Good,David Guetta & Bebe Rexha
People,Libianca
Push Up,Creeds
Do It Again,Ray Dalton
Forget Me,Lewis Capaldi
Barbie World,Nicki Minaj & Ice Spice
Take Two,BTS
Dreamers,Jung Kook
Viva la Vida,Coldplay
Living In A Haze,Milky Chance
Friesenjung,"Ski Aggu, Joost & Otto Waalkes"
I Ain't Worried,OneRepublic
Cynical,"twocolors, Safri Duo & Chris de Sarandy"
Superstar,Andreas Gabalier
Calm Down,Rema
TQG,KAROL G & Shakira
NEED A FAVOR,Jelly Roll
Tsuki Wo Miteita,Kenshi Yonezu
Jaded,Miley Cyrus
Kiss Me,Dermot Kennedy
All My Life,Lil Durk
Perfect,Ed Sheeran
Shape of You,Ed Sheeran
Until I Found You,Stephen Sanchez
Pointless,Lewis Capaldi
FLOWER,JISOO
0800 HEAVEN,"Nathan Dawe, Joel Corry & Ella Henderson"
TULUM,Peso Pluma & Grupo Frontera
REACT,Switch Disco & Ella Henderson
See You Again,Wiz Khalifa
Whistle,Jax Jones & Calum Scott
絆ノ奇跡,MAN WITH A MISSION & milet
All Eyes on Me,Dj Belite
Hello,Adele
Save Me,Jelly Roll
Nezuko Kamado No Uta,Go Shiina
Speed Drive,Charli XCX
Friesenjung,"Vieze Asbak, Joost & Ski Aggu"
Paradise,Sophie and the Giants & Purple Disco Machine
Always Remember Us This Way,Lady Gaga
What It Is,Doechii
Lose Control,Teddy Swims
Heaven,Niall Horan
Mephisto,Queen Bee
How Do I Say Goodbye,Dean Lewis
Life Goes On,Ed Sheeran
Waterfall,Michael Schulte & R3HAB
Thank God I Do,Lauren Daigle
Waffle House,Jonas Brothers
Crazy Love,XY
Overcome,Nothing But Thieves
El Merengue,Marshmello & Manuel Turizo
Popular,"The Weeknd, Playboi Carti & Madonna"
Thinkin’ Bout Me,Morgan Wallen
Yellow,Coldplay
Wenn Du Mich Vergisst,Mark Forster & Kontra K
プライド・ブライト,Juice=Juice
VULGAR,"Sam Smith, Madonna & Marlon Hoffstadt"
Shallow,Lady Gaga & Bradley Cooper
Acróstico,Shakira
Watermelon Moonshine,Lainey Wilson
Blinding Lights,The Weeknd
Wedding song,DISH//
Can't Tame Her,Zara Larsson
Fix You,Coldplay
Just Give Me a Reason,P!nk
The Blessing,YOASOBI
Thinking Out Loud,Ed Sheeran
Son Of A Sinner,Jelly Roll
Wildberry Lillet,Nina Chuba
How Does It Feel,Tom Grennan
Next Chapter,"Shin Sato (CV: Yumiri Hanamori), Shiki Ichinose (CV: Kotomi Aihara), Layla (CV: Kana Ichinose), Kako Takafuji (CV: Rana Morishita) & Fumika Sagisawa (CV: M·A·O)"
Uptown Funk,Mark Ronson
In A Perfect World,Dean Lewis & Julia Michaels
Ouzo,Vincent Gross
Giving Me,Jazzy
The Star Spangled Banner,Chris Stapleton
Bittersweet Goodbye,Issey Cross
Heute nicht,Ben Zucker
COCONUT,NiziU
Who Told You,J Hus
Get Lucky,"Daft Punk, Pharrell Williams & Nile Rodgers"
Rush,Ayra Starr
Good Love,Hannah Laing & RoRo
NIGHT DANCER,imase
DISCO PARADISE,"Fedez, Annalisa & Articolo 31"
Rolling In the Deep,Adele
Do It All Again,Punctual & Jordan Shaw
Breaking your heart,Apache 207
オトナブルー,ATARASHII GAKKO!
Shake It Off,Taylor Swift
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro
Tattoo,OFFICIAL HIGE DANDISM
Bruises,Lewis Capaldi
Love Story,Taylor Swift
Ein bisschen Aroma,Roger Whittaker & Stereoact
St. Charles Square,Blur
Kokoroe,Uru
Holding On,Leony
ai no hana,Aimyon
He sido,Vanesa Martín
Dancing is Healing,"Rudimental, Charlotte Plank & Vibe Chemistry"
Twilight Pentagram,オルタード/朔間 零(CV.増田 俊樹)、日々樹 渉(CV.江口 拓也)、深海 奏汰(CV.西山 宏太朗)、 斎宮 宗(CV.高橋 広樹)、逆先 夏目(CV.野島 健児)
Stiekem,Maan & Goldband
Angels Like You,Miley Cyrus
Memory Lane,Old Dominion
If Anything's Left,Jamie Fine
Lift Me Up,Rihanna
Don't Say Love,Leigh-Anne
Dance Hall,Mrs. Green Apple
Ella Baila Sola,Eslabon Armado & Peso Pluma
Hymn for the Weekend,Coldplay
The Best,Tina Turner
Get Lucky,Daft Punk
Next Thing You Know,Jordan Davis
Bury Me in Georgia,Kane Brown
Back To You,"Lost Frequencies, Elley Duhé & X Ambassadors"
Magic,Mrs. Green Apple
Green Green Grass,George Ezra
Believer,Imagine Dragons
Stand By Me,Lil Durk
Escapism.,RAYE & 070 Shake
She Had Me At Heads Carolina,Cole Swindell
Heavy Metal Love,twocolors
Hakanakunai,SUPER BEAVER
Hold Me While You Wait,Lewis Capaldi
MOJABI GHOST,Tainy & Bad Bunny
VAGABUNDO,"Sebastián Yatra, Manuel Turizo & Beéle"
Propiedad Privada,Paulina Rubio
UNHEALTHY,Anne-Marie
Queencard,(G)I-DLE
Butterfly Effect,SEKAI NO OWARI
We Are Young,Fun.
Money,Young Thug
Ci pensiamo domani,Angelina Mango
me,Kelly Clarkson
Utsukushii Hire,Spitz
Doktor,"PA Sports, Sido, Haftbefehl & Alies"
Daylight,Sheppard
Heart They Didn't Break,Maddie & Tae
Someone Like You,Adele
Party In the U.S.A.,Miley Cyrus
Mädchen auf dem Pferd,"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate & Ulf Leo Sommer"
slash,yama
Engelbewaarder,Marco Schuitmaker
Religiously,Bailey Zimmerman
Bumsbar,"Ikke Hüftgold, Schürze & DJ Robin"
Jerusalema,Master KG
Que Sera Sera,Mrs. Green Apple
Watermelon Sugar,Harry Styles
Lover,Taylor Swift
Thought You Should Know,Morgan Wallen
Dépassé,Nuit Incolore
Ghosts Again,Depeche Mode
Gorilla,Little Simz
Attention For It Radiates,Ian William Craig
Leave It Alone (Remix),Viking Ding Dong x Ravi B
Middle of a Heart,Adeem the Artist
Shakedhat,"Zahsosaa, D STURDY & DJ Crazy"
If You Only Knew,Gabriels
SMiLE,DOMi & JD BECK
milk crates,Pigeon Pit
Angel Band (Jubilee Version),Tyler Childers
Human Kind,Straw Man Army
Quien encendió la luz,Guitarricadelafuente
Night Shift,Mary Halvorson
Dodinin,Leyla McCalla
Bleed Out,The Mountain Goats
Hype Boy,NewJeans
Feminina,Joyce
Waterfall,Disclosure feat. RAYE
POF,Ari Lennox
The 1975,Next >
Anna Tivel,Part of the Band
Caroline Shaw & Attacca Quartet,Black Umbrella
Beth Orton,First Essay (Nimrod)
DJ Python,Friday Night
Patricia Brennan,Angel
Black Sherif,Unquiet Respect
Madison Cunningham,Kwaku the Traveller
La Doña,Life According To Raechel
Julia Jacklin,Penas Con Pan
Molly Tuttle & Golden Highway,"Love, Try Not To Let Go"
"Black Country, New Road",Crooked Tree
Khruangbin & Leon Bridges,The Place Where He Inserted the Blade
Nduduzo Makhathini,B-Side
KAROL G,Unonkanyamba
Vince Staples,PROVENZA
Tove Lo,When Sparks Fly
Jazmine Sullivan,2 Die 4
Denzel Curry,BPW
beabadoobee,Walkin
Next >,Talk
Atopos,Björk
Afar,Hyd
Don't Forget,Sky Ferreira
Up The Mountain,Regina Spektor
I Ran Down Every Dream,Tommy McLain feat. Elvis Costello
Estas En Mi Pasado,Yahritza y Su Esencia
"Schumann: ""Study in Canonic Form, Op. 56, No. 1",Víkingur Ólafsson
Poland,Lil Yachty
Afraid to Feel,LF System
Shotgun,Soccer Mommy
Antifragile,LE SSERAFIM
Bed Time,Flo Milli
The Heart Part 5,Kendrick Lamar
Home Maker,Sudan Archives
Love Song (Come Back),Fly Anakin
Dora's Lullaby,Julius Rodriguez
That's Where I Am,Maggie Rogers
Gotsta Get Paid,Rico Nasty
Doo Wop,Anna Butterss
Peace Piece,Sean Shibe
Syd feat. Lucky Daye ,Next >
Ice Spice,CYBAH
Joy Orbison x Overmono feat. ABRA ,Munch (Feelin' U)
NxWorries feat. H.E.R. ,Blind Date
Joan Shelley feat. Bill Callahan,Where I Go
Doechii,Amberlit Morning
Julia Bullock,Crazy
Taylor Swift,One by One
Hikaru Utada,Anti-Hero
Koffee,BAD MODE
SiR feat. Scribz Riley,Pull Up
Hermanos Gutiérrez,Life is Good
Porridge Radio,El Bueno y El Malo
Kevin Morby,Back To The Radio
Makaya McCraven,This is a Photograph
Ethel Cain,Dream Another
Megan Thee Stallion,American Teenager
The Beths,Plan B
Let's Eat Grandma,Expert in a Dying Field
Omar Apollo,Happy New Year
Next >,Tamagotchi
Pompeii,Molly Nilsson
Derivative,Third Coast Percussion
Abilene,Plains
Bandana,Fireboy DML & Asake
About Damn Time,Lizzo
Shirt,SZA
Something in the Orange,Zach Bryan
Jackie Down the Line,Fontaines D.C.
L'enfer,Stromae
Bad Habit,Steve Lacy
Iced Tea,Joyce Wrice x KAYTRANADA
What I Want,MUNA
This is Why,Paramore
pushin P,Gunna & Future feat. Young Thug
SAOKO,ROSALÍA
Runner,Alex G
El Apagón,Bad Bunny
ALIEN SUPERSTAR,Beyoncé
F.N.F. (Let's Go),Hitkidd & GloRilla
